,Unnamed: 0,id,metro,address,area_m2,parking,price,renovation,bathroom,elevator,garbage_chute,floor,house_type,rooms,ceiling_high,lodjia,balcony_,price_for_sqr_meter,area,windows_to_street,windows_to_yard,windows_aspects,allow_kids,allow_pets,kids_pets_aspects
0,0,271271157,239,9962,200.0,5,500000,2,0,23,1,5,5,4.0,3.0,0,0,2500.0,7,0,0,0,1,1,2
1,1,271634126,239,9962,198.0,5,500000,2,10,8,2,5,4,4.0,3.5,0,0,2525.25,7,1,1,2,1,0,1
2,2,271173086,239,9962,200.0,5,500000,3,14,7,0,5,10,1.0,3.2,0,0,2500.0,7,1,1,2,1,0,1
3,3,272197456,239,7598,170.0,5,400000,3,14,7,0,5,10,1.0,3.2,0,0,2352.94,7,1,1,2,0,1,1
4,4,273614615,12,9959,58.0,0,225000,3,9,8,1,12,6,2.0,3.9,0,0,3879.31,7,1,1,2,0,0,0
5,5,274837728,239,423,92.0,0,470000,2,0,0,0,3,10,3.0,2.64,0,0,5108.7,7,0,0,0,0,0,0
6,6,273643908,12,7601,213.0,4,350000,3,9,7,0,4,10,1.0,3.2,0,0,1643.19,7,1,1,2,1,1,2
7,7,274475342,239,8309,98.0,5,250000,3,6,7,2,2,5,3.0,3.2,0,0,2551.02,7,0,1,1,1,1,2
8,8,273973191,239,4651,120.0,1,130000,3,5,7,2,5,7,3.0,3.0,0,0,1083.33,7,1,0,1,0,1,1
9,9,272900409,12,8306,90.0,1,210000,3,6,7,1,2,7,4.0,3.1,0,1,2333.33,7,1,1,2,1,0,1
10,10,271036964,239,4140,170.0,5,290000,3,14,7,0,6,10,1.0,3.2,0,0,1705.88,7,1,1,2,1,0,1
11,11,273999490,239,4653,80.0,0,100000,3,5,7,0,4,3,1.0,2.64,0,3,1250.0,7,1,1,2,0,0,0
12,12,274017037,239,1669,100.0,0,200000,2,9,7,0,2,3,3.0,2.64,0,0,2000.0,7,0,1,1,1,1,2
13,13,273231024,239,6620,180.0,0,500000,2,10,18,0,6,5,5.0,2.64,1,0,2777.78,7,1,0,1,1,1,2
14,14,274839211,110,6783,222.2,5,450000,3,9,7,0,5,5,1.0,2.64,0,1,2025.2,1,0,0,0,0,0,0
15,15,274767901,110,6783,225.0,0,450000,2,0,22,1,5,5,5.0,2.64,0,0,2000.0,1,0,0,0,0,0,0
16,16,274995950,12,9959,30.0,0,120000,3,5,0,0,19,10,2.0,2.64,0,0,4000.0,7,1,0,1,1,1,2
17,17,274945807,12,6783,222.0,0,450000,2,0,0,0,5,10,5.0,2.64,0,1,2027.03,7,0,0,0,1,1,2
18,18,272911145,5,5322,150.0,4,180000,3,9,7,0,4,3,1.0,2.64,0,1,1200.0,0,0,0,0,0,0,0
19,19,274748017,110,6784,201.0,0,190000,3,14,7,0,3,10,1.0,3.2,0,0,945.27,1,1,1,2,1,1,2
20,20,273941734,12,9959,64.0,0,205000,3,9,0,2,12,10,1.0,2.64,0,0,3203.12,7,1,0,1,1,1,2
21,21,274493570,110,7605,112.0,5,230000,3,9,7,0,2,10,1.0,3.2,0,1,2053.57,1,1,1,2,1,0,1
22,22,274849101,239,4129,190.0,0,590000,2,0,0,0,4,10,4.0,2.64,0,0,3105.26,7,0,0,0,0,0,0
23,23,223918678,12,6783,255.6,0,850000,3,10,0,0,8,5,5.0,2.64,0,0,3325.51,7,0,1,1,1,1,2
24,24,274391259,12,6784,186.0,1,190000,3,9,0,1,3,9,5.0,3.3,0,0,1021.51,7,1,1,2,1,1,2
25,25,272945376,12,2240,100.0,4,200000,3,9,7,0,3,10,1.0,3.2,0,0,2000.0,7,1,1,2,1,1,2
26,26,272612966,12,5322,150.0,0,200000,3,9,7,0,4,10,5.0,2.64,0,1,1333.33,7,0,1,1,0,0,0
27,27,271568490,239,7597,140.0,0,300000,2,0,7,0,2,10,5.0,2.64,0,0,2142.86,7,1,0,1,1,0,1
28,28,264664760,12,9965,132.8,0,400000,3,9,0,0,5,5,3.0,2.64,0,0,3012.05,7,0,0,0,1,1,2
29,29,228923308,12,6783,256.0,5,750000,2,11,8,1,8,4,5.0,3.0,0,0,2929.69,7,1,1,2,1,1,2
30,30,267489303,12,7603,380.0,1,870000,4,10,7,1,3,9,6.0,4.0,0,0,2289.47,7,1,1,2,1,1,2
31,31,273353104,239,9965,112.0,5,350000,0,2,0,1,3,4,3.0,3.15,0,0,3125.0,7,0,0,0,0,0,0
32,32,273353103,239,9965,91.0,5,400000,0,2,0,1,10,4,2.0,3.15,0,0,4395.6,7,0,0,0,0,0,0
33,33,268321690,12,9965,135.0,5,400000,2,6,14,0,5,4,3.0,2.64,0,0,2962.96,7,1,1,2,1,1,2
34,34,269496185,239,4129,190.0,5,590000,2,9,8,2,4,4,4.0,3.2,0,0,3105.26,7,1,1,2,1,0,1
35,35,272188531,12,9959,44.0,0,135000,0,1,0,1,21,10,2.0,4.15,0,0,3068.18,7,0,0,0,0,0,0
36,36,272727784,239,8304,85.0,0,150000,3,5,0,0,7,10,3.0,2.64,0,1,1764.71,7,0,0,0,1,1,2
37,37,267110043,239,423,100.0,0,320000,0,2,8,1,5,4,2.0,3.0,0,1,3200.0,7,1,0,1,1,0,1
38,38,265323319,239,9965,133.3,5,400000,0,2,0,1,5,4,3.0,3.15,0,0,3000.75,7,0,0,0,1,0,1
39,39,265804792,239,7598,210.0,0,400000,0,3,0,1,3,10,4.0,3.8,0,1,1904.76,7,1,1,2,0,1,1
40,40,239000408,12,1710,180.0,0,450000,0,2,0,1,4,10,4.0,2.64,0,0,2500.0,7,0,0,0,1,1,2
41,41,271209314,239,9962,165.0,0,470000,0,2,8,1,9,4,4.0,3.35,0,0,2848.48,7,0,0,0,0,1,1
42,42,269889430,239,4129,190.0,0,590000,0,2,0,1,4,10,4.0,4.05,0,0,3105.26,7,0,0,0,0,1,1
43,43,241704098,239,9962,168.0,0,600000,0,2,8,1,4,4,4.0,3.35,0,0,3571.43,7,0,0,0,1,0,1
44,44,239000331,110,6783,250.0,0,850000,0,3,8,1,8,4,5.0,2.64,0,0,3400.0,1,0,0,0,0,1,1
45,45,272823500,12,8304,85.0,5,150000,3,5,7,0,7,3,1.0,2.64,0,1,1764.71,7,0,0,0,0,0,0
46,46,274402813,239,4141,105.0,5,195000,3,14,0,0,6,4,3.0,2.64,0,0,1857.14,7,1,1,2,1,1,2
47,47,270190788,239,4141,134.0,5,300000,3,2,7,0,8,5,1.0,2.64,0,1,2238.81,7,0,0,0,1,1,2
48,48,271265359,239,8310,60.0,4,90000,3,5,7,0,5,10,1.0,3.2,0,0,1500.0,7,1,1,2,1,0,1
49,49,274289253,12,8304,85.0,0,150000,2,0,0,0,7,10,3.0,2.64,0,1,1764.71,7,0,0,0,0,0,0
50,50,274150874,239,8311,150.0,0,250000,2,0,0,0,4,10,5.0,2.64,0,0,1666.67,7,0,0,0,0,0,0
51,51,274849686,239,422,142.0,5,350000,3,9,7,0,12,10,1.0,3.2,0,0,2464.79,7,1,1,2,0,0,0
52,52,274315381,12,6783,222.0,0,450000,3,0,7,0,7,10,5.0,2.64,1,0,2027.03,7,1,0,1,1,1,2
53,53,273779074,239,1670,60.0,0,120000,0,5,7,0,3,3,2.0,3.6,0,0,2000.0,7,1,0,1,1,1,2
54,54,274217247,239,8307,103.0,0,120000,0,5,0,0,2,3,3.0,3.8,0,0,1165.05,7,1,1,2,1,0,1
55,55,272156997,110,2239,170.0,4,175000,3,9,7,0,5,3,5.0,3.2,0,0,1029.41,1,0,1,1,1,1,2
56,56,274617827,110,6784,200.0,0,190000,3,0,0,0,3,3,5.0,2.64,0,0,950.0,1,0,1,1,1,1,2
57,57,274252871,239,4141,105.0,5,240000,0,10,14,1,6,5,3.0,3.0,1,0,2285.71,7,1,1,2,1,1,2
58,58,269132104,239,9965,60.0,5,250000,3,5,8,2,2,4,1.0,3.0,0,0,4166.67,7,0,1,1,1,0,1
59,59,273911217,239,8311,155.0,0,250000,2,0,7,0,4,10,5.0,2.64,0,0,1612.9,7,1,0,1,0,0,0
60,60,269716469,239,4141,134.0,5,300000,3,9,8,1,8,4,3.0,3.0,0,0,2238.81,7,1,1,2,1,1,2
61,61,274137125,92,422,214.6,5,500000,2,18,7,0,3,10,5.0,2.64,0,0,2329.92,1,1,1,2,1,1,2
62,62,274140104,239,422,204.0,4,500000,0,18,8,0,2,5,1.0,3.2,0,0,2450.98,7,0,1,1,1,1,2
63,63,271258034,239,6620,180.0,0,500000,3,0,7,0,7,10,5.0,2.64,1,0,2777.78,7,0,1,1,1,0,1
64,64,166833883,12,1658,260.0,0,590000,2,15,8,0,6,3,6.0,2.64,3,2,2269.23,7,1,0,1,1,1,2
65,65,273798495,239,3386,237.1,0,650000,2,10,13,0,7,5,4.0,2.64,1,0,2741.46,7,1,1,2,0,0,0
66,66,274810876,239,7598,215.0,5,700000,3,14,0,0,5,3,4.0,2.64,0,0,3255.81,7,0,0,0,0,0,0
67,67,274199925,12,8307,100.0,0,115000,0,0,0,0,2,10,3.0,2.64,0,0,1150.0,7,0,1,1,1,0,1
68,68,274223065,239,1670,60.0,0,120000,2,0,0,0,3,10,2.0,2.64,0,0,2000.0,7,1,0,1,0,0,0
69,69,271264562,110,2239,170.0,4,175000,3,9,7,1,5,9,5.0,3.2,0,0,1029.41,1,1,1,2,1,1,2
70,70,272632345,12,8304,98.0,0,185000,0,1,7,1,6,3,3.0,3.0,0,0,1887.76,7,0,0,0,0,0,0
71,71,274018110,12,6783,175.0,5,200000,0,2,8,1,3,4,2.0,3.1,0,0,1142.86,7,0,0,0,0,0,0
72,72,274029603,239,8308,180.0,0,350000,3,14,7,0,3,3,1.0,2.64,0,0,1944.44,7,1,1,2,1,0,1
73,73,274548856,239,422,132.0,5,350000,2,9,15,0,12,4,4.0,2.64,0,0,2651.52,7,0,1,1,1,1,2
74,74,271766412,5,7603,228.0,0,400000,3,9,7,0,3,10,6.0,2.64,0,1,1754.39,0,0,1,1,0,0,0
75,75,269165004,239,423,92.3,2,470000,0,2,8,1,3,4,3.0,4.2,0,0,5092.09,7,0,0,0,0,0,0
76,76,274105576,239,422,204.0,5,500000,3,18,7,0,2,10,1.0,3.2,0,1,2450.98,7,1,1,2,1,1,2
77,77,273785180,12,9959,160.0,0,650000,3,14,7,0,26,10,1.0,3.2,0,0,4062.5,7,1,1,2,1,1,2
78,78,273785183,12,9959,140.0,0,650000,3,14,7,0,25,10,1.0,3.2,0,0,4642.86,7,1,1,2,1,1,2
79,79,273785185,12,9959,140.0,0,700000,3,14,7,0,25,10,1.0,3.2,1,1,5000.0,7,1,1,2,1,1,2
80,80,274528249,12,4613,45.0,4,120000,2,5,7,0,6,3,1.0,2.64,0,1,2666.67,7,0,0,0,0,0,0
81,81,274431438,239,3159,65.0,4,130000,3,5,7,0,7,10,1.0,3.2,0,0,2000.0,7,1,1,2,1,1,2
82,82,274064272,12,4584,87.0,0,140000,3,1,7,1,4,3,1.0,2.64,0,0,1609.2,7,1,1,2,0,0,0
83,83,273078340,239,6165,90.0,0,145000,2,5,13,1,7,3,3.0,3.0,0,1,1611.11,7,1,1,2,1,1,2
84,84,274359655,239,8308,180.0,5,350000,3,3,7,0,3,3,1.0,2.64,0,0,1944.44,7,0,0,0,0,0,0
85,85,272226556,12,8308,180.0,0,400000,2,0,0,0,2,10,4.0,2.64,0,1,2222.22,7,0,0,0,1,0,1
86,86,273114736,239,423,170.0,0,650000,2,0,0,0,4,10,4.0,2.64,0,2,3823.53,7,0,0,0,1,1,2
87,87,274319903,239,5516,75.0,1,99000,4,1,8,0,9,3,1.0,2.64,0,0,1320.0,7,0,1,1,1,1,2
88,88,273427928,239,6621,87.0,0,100000,2,5,7,0,3,3,3.0,2.64,0,0,1149.43,7,1,0,1,1,0,1
89,89,274296188,12,1659,105.0,1,180000,4,9,7,1,9,3,3.0,3.0,0,1,1714.29,7,1,1,2,1,0,1
90,90,272887177,12,2240,99.0,5,200000,0,9,8,0,3,3,1.0,3.2,1,0,2020.2,7,0,1,1,1,0,1
91,91,269319175,239,9965,60.0,5,250000,0,5,13,0,2,5,1.0,3.5,0,0,4166.67,7,0,1,1,1,0,1
92,92,269687656,239,7610,140.0,0,280000,3,9,7,0,4,10,4.0,2.64,0,0,2000.0,7,0,1,1,0,0,0
93,93,274501292,12,8313,120.0,0,300000,2,9,7,0,3,10,3.0,2.64,0,0,2500.0,7,1,1,2,1,1,2
94,94,261980888,239,9965,133.0,5,400000,0,9,15,0,5,5,1.0,2.8,0,0,3007.52,7,0,1,1,1,0,1
95,95,272567246,239,8308,180.0,0,400000,0,14,7,0,2,4,4.0,2.64,0,1,2222.22,7,0,1,1,1,1,2
96,96,274930877,110,6783,219.0,5,450000,0,10,0,0,5,5,1.0,2.64,1,0,2054.79,1,0,0,0,0,0,0
97,97,273576298,110,7605,130.0,5,450000,0,9,0,0,3,3,1.0,2.64,0,1,3461.54,1,0,1,1,1,0,1
98,98,271108834,239,6620,180.0,5,500000,2,10,7,1,7,4,5.0,3.0,0,1,2777.78,7,1,1,2,1,0,1
99,99,256631457,12,8305,190.0,4,520000,0,9,8,0,7,3,1.0,3.2,0,1,2736.84,7,1,1,2,1,0,1
100,100,271988698,239,9962,174.0,0,550000,2,6,22,1,10,5,3.0,2.64,0,0,3160.92,7,1,1,2,1,1,2
101,101,271305644,12,1669,336.0,0,590000,2,0,0,0,4,10,6.0,2.64,0,0,1755.95,7,0,0,0,0,0,0
102,102,271097684,239,423,170.0,5,650000,2,10,8,1,4,5,4.0,2.64,1,1,3823.53,7,0,1,1,1,1,2
103,103,273106501,26,7603,338.0,4,650000,0,14,13,0,5,3,1.0,3.2,0,0,1923.08,0,1,1,2,1,1,2
104,104,274066192,239,9961,52.0,4,80000,0,5,0,0,11,6,1.0,2.64,0,0,1538.46,7,1,0,1,1,0,1
105,105,273763131,239,424,91.0,0,95000,1,1,7,0,9,10,3.0,2.64,0,0,1043.96,7,0,0,0,0,0,0
106,106,273684904,239,1663,56.0,4,105000,0,1,8,0,7,6,2.0,2.64,0,1,1875.0,7,1,1,2,1,1,2
107,107,271542995,239,4652,80.0,4,120000,0,5,7,0,5,9,1.0,3.2,0,2,1500.0,7,0,1,1,0,0,0
108,108,273012299,12,8426,94.0,0,135000,0,5,7,0,5,3,1.0,3.2,0,0,1436.17,7,1,1,2,0,0,0
109,109,270282698,12,9959,40.0,0,135000,0,6,21,0,21,5,1.0,3.0,0,0,3375.0,7,1,0,1,1,0,1
110,110,274336333,239,4649,94.0,4,145000,3,9,0,0,4,3,1.0,5.5,0,0,1542.55,7,0,1,1,1,0,1
111,111,272244255,239,6165,90.0,4,145000,0,1,0,0,4,3,1.0,2.64,0,0,1611.11,7,1,0,1,0,0,0
112,112,272701749,110,6321,120.0,4,165000,0,5,0,0,4,9,2.0,3.0,0,0,1375.0,1,1,0,1,0,0,0
113,113,271204399,110,2239,170.0,0,175000,3,0,7,0,5,10,5.0,2.64,0,0,1029.41,1,0,1,1,0,0,0
114,114,274879736,12,8427,140.0,1,180000,4,9,7,1,4,9,3.0,3.2,0,0,1285.71,7,1,1,2,1,1,2
115,115,271827359,239,9965,41.0,0,180000,2,0,0,0,10,10,1.0,2.64,0,0,4390.24,7,0,0,0,0,0,0
116,116,256631941,12,9496,120.0,4,190000,0,9,7,0,4,9,1.0,3.0,0,0,1583.33,7,1,0,1,1,1,2
117,117,272917777,30,2240,95.0,5,200000,3,2,7,1,3,5,1.0,2.64,0,1,2105.26,7,0,0,0,0,0,0
118,118,252536547,26,7602,130.0,0,220000,4,9,7,0,4,3,4.0,2.64,0,0,1692.31,0,0,1,1,1,1,2
119,119,274434108,12,9959,70.0,0,230000,2,9,15,0,24,6,1.0,2.64,0,0,3285.71,7,0,1,1,1,0,1
120,120,272559990,239,9965,63.0,0,270000,2,0,0,0,2,10,1.0,2.64,0,0,4285.71,7,0,0,0,0,0,0
121,121,269465572,110,2240,189.0,5,330000,3,2,7,0,2,3,1.0,2.64,0,1,1746.03,1,0,0,0,0,0,0
122,122,263779667,239,7598,120.0,5,330000,0,6,7,0,2,3,2.0,3.8,0,0,2750.0,7,0,1,1,0,0,0
123,123,272128059,12,9963,212.0,0,350000,2,9,7,0,6,10,4.0,2.64,0,0,1650.94,7,1,1,2,1,1,2
124,124,224335583,17,4651,111.0,0,350000,3,10,0,0,9,10,4.0,2.64,1,0,3153.15,7,0,0,0,1,1,2
